3235	51	62	73
3350	52	63	74
3467	53	64	75
3586	54	65	76
3707	55	66	77
3830	56	67	78
3955	57	68	79
4082	58	69	80
4211	59	70	81
4342	60	71	82
4475	61	72	83
4610	62	73	84
4747	63	74	85
4886	64	75	86
5027	65	76	87
5170	66	77	88
5315	67	78	89
5462	68	79	90
5611	69	80	91
5762	70	81	92
5915	71	82	93
6070	72	83	94
6227	73	84	95
6386	74	85	96
6547	75	86	97
6710	76	87	98
6875	77	88	99
7042	78	89	100
7211	79	90	101
7382	80	91	102
7555	81	92	103
7730	82	93	104
7907	83	94	105
8086	84	95	106
8267	85	96	107
8450	86	97	108
8635	87	98	109
8822	88	99	110
9011	89	100	111
9202	90	101	112
9395	91	102	113
9590	92	103	114
9787	93	104	115
9986	94	105	116
10187	95	106	117
10390	96	107	118
10595	97	108	119
10802	98	109	120
11011	99	110	121
11222	100	111	122
11435	101	112	123
11650	102	113	124
11867	103	114	125
12086	104	115	126
12307	105	116	127
12530	106	117	128
12755	107	118	129
12982	108	119	130
13211	109	120	131
13442	110	121	132
13675	111	122	133
13910	112	123	134
14147	113	124	135
14386	114	125	136
14627	115	126	137
14870	116	127	138
15115	117	128	139
15362	118	129	140
15611	119	130	141
15862	120	131	142
16115	121	132	143
16370	122	133	144
16627	123	134	145
16886	124	135	146
17147	125	136	147
17410	126	137	148
17675	127	138	149
17942	128	139	150
18211	129	140	151
18482	130	141	152
18755	131	142	153
19030	132	143	154
19307	133	144	155
19586	134	145	156
19867	135	146	157
20150	136	147	158
20435	137	148	159
20722	138	149	160
21011	139	150	161
21302	140	151	162
21595	141	152	163
21890	142	153	164
22187	143	154	165
22486	144	155	166
22787	145	156	167
23090	146	157	168
23395	147	158	169
23702	148	159	170
24011	149	160	171
24322	150	161	172
