5	3	4
10	6	8
13	5	12
15	9	12
17	8	15
20	12	16
25	7	24
25	15	20
26	10	24
29	20	21
30	18	24
34	16	30
35	21	28
37	12	35
39	15	36
40	24	32
41	9	40
45	27	36
50	14	48
50	30	40
51	24	45
52	20	48
53	28	45
55	33	44
58	40	42
60	36	48
61	11	60
65	16	63
65	25	60
65	33	56
65	39	52
68	32	60
70	42	56
73	48	55
74	24	70
75	21	72
75	45	60
78	30	72
80	48	64
82	18	80
85	13	84
85	36	77
85	40	75
85	51	68
87	60	63
89	39	80
90	54	72
91	35	84
95	57	76
97	65	72
100	28	96
100	60	80
101	20	99
102	48	90
104	40	96
105	63	84
106	56	90
109	60	91
110	66	88
111	36	105
113	15	112
115	69	92
116	80	84
117	45	108
119	56	105
120	72	96
122	22	120
123	27	120
125	35	120
125	44	117
125	75	100
130	32	126
130	50	120
130	66	112
130	78	104
135	81	108
136	64	120
137	88	105
140	84	112
143	55	132
145	17	144
145	24	143
145	87	116
145	100	105
146	96	110
148	48	140
149	51	140
150	42	144
150	90	120
153	72	135
155	93	124
156	60	144
157	85	132
159	84	135
160	96	128
164	36	160
165	99	132
169	65	156
169	119	120
170	26	168
